ESTAR: Stopping Powers and Range Tables for Electrons

CeBr3 (Density=5.2 g/cm3) (I=462.1 eV)

Kinetic    Total     CSDA      
Energy     Stp. Pow. Range     
MeV        MeV cm2/g g/cm2     

1.000E-02 1.115E+01 5.622E-04 
1.250E-02 9.606E+00 8.045E-04 
1.500E-02 8.485E+00 1.082E-03 
1.750E-02 7.633E+00 1.393E-03 
2.000E-02 6.962E+00 1.737E-03 
2.500E-02 5.966E+00 2.515E-03 
3.000E-02 5.261E+00 3.410E-03 
3.500E-02 4.732E+00 4.414E-03 
4.000E-02 4.321E+00 5.522E-03 
4.500E-02 3.991E+00 6.727E-03 
5.000E-02 3.720E+00 8.026E-03 
5.500E-02 3.493E+00 9.414E-03 
6.000E-02 3.301E+00 1.089E-02 
7.000E-02 2.991E+00 1.408E-02 
8.000E-02 2.752E+00 1.757E-02 
9.000E-02 2.563E+00 2.134E-02 
1.000E-01 2.409E+00 2.536E-02 
1.250E-01 2.126E+00 3.645E-02 
1.500E-01 1.934E+00 4.881E-02 
1.750E-01 1.796E+00 6.224E-02 
2.000E-01 1.692E+00 7.660E-02 
2.500E-01 1.549E+00 1.076E-01 
3.000E-01 1.455E+00 1.409E-01 
3.500E-01 1.391E+00 1.761E-01 
4.000E-01 1.346E+00 2.127E-01 
4.500E-01 1.313E+00 2.503E-01 
5.000E-01 1.289E+00 2.888E-01 
5.500E-01 1.271E+00 3.279E-01 
6.000E-01 1.258E+00 3.674E-01 
7.000E-01 1.241E+00 4.475E-01 
8.000E-01 1.233E+00 5.284E-01 
9.000E-01 1.232E+00 6.096E-01 
1.000E+00 1.233E+00 6.907E-01 
1.250E+00 1.247E+00 8.924E-01 
1.500E+00 1.269E+00 1.091E+00 
1.750E+00 1.294E+00 1.286E+00 
2.000E+00 1.320E+00 1.478E+00 
2.500E+00 1.374E+00 1.849E+00 
3.000E+00 1.428E+00 2.206E+00 
3.500E+00 1.481E+00 2.550E+00 
4.000E+00 1.533E+00 2.881E+00 
4.500E+00 1.585E+00 3.202E+00 
5.000E+00 1.636E+00 3.513E+00 
5.500E+00 1.686E+00 3.814E+00 
6.000E+00 1.736E+00 4.106E+00 
7.000E+00 1.834E+00 4.666E+00 
8.000E+00 1.931E+00 5.198E+00 
9.000E+00 2.028E+00 5.703E+00 
1.000E+01 2.124E+00 6.185E+00 
1.250E+01 2.363E+00 7.300E+00 
1.500E+01 2.601E+00 8.308E+00 
1.750E+01 2.839E+00 9.228E+00 
2.000E+01 3.078E+00 1.007E+01 
2.500E+01 3.556E+00 1.158E+01 
3.000E+01 4.037E+00 1.290E+01 
3.500E+01 4.520E+00 1.407E+01 
4.000E+01 5.004E+00 1.512E+01 
4.500E+01 5.490E+00 1.608E+01 
5.000E+01 5.977E+00 1.695E+01 
5.500E+01 6.466E+00 1.775E+01 
6.000E+01 6.956E+00 1.850E+01 
7.000E+01 7.939E+00 1.984E+01 
8.000E+01 8.925E+00 2.103E+01 
9.000E+01 9.914E+00 2.209E+01 
1.000E+02 1.090E+01 2.305E+01 
1.250E+02 1.339E+01 2.512E+01 
1.500E+02 1.589E+01 2.683E+01 
1.750E+02 1.839E+01 2.829E+01 
2.000E+02 2.089E+01 2.957E+01 
2.500E+02 2.592E+01 3.171E+01 
3.000E+02 3.095E+01 3.348E+01 
3.500E+02 3.599E+01 3.497E+01 
4.000E+02 4.104E+01 3.627E+01 
4.500E+02 4.609E+01 3.742E+01 
5.000E+02 5.115E+01 3.845E+01 
5.500E+02 5.621E+01 3.938E+01 
6.000E+02 6.127E+01 4.023E+01 
7.000E+02 7.140E+01 4.174E+01 
8.000E+02 8.154E+01 4.305E+01 
9.000E+02 9.169E+01 4.421E+01 
1.000E+03 1.018E+02 4.524E+01 
