ESTAR: Stopping Powers and Range Tables for Electrons

Silicon (Density=2.65 g/cm3) (I=173.0 eV)

Kinetic    Total     CSDA      
Energy     Stp. Pow. Range     
MeV        MeV cm2/g g/cm2     

1.000E-02 1.690E+01 3.461E-04 
1.250E-02 1.433E+01 5.074E-04 
1.500E-02 1.252E+01 6.946E-04 
1.750E-02 1.116E+01 9.065E-04 
2.000E-02 1.011E+01 1.142E-03 
2.500E-02 8.564E+00 1.682E-03 
3.000E-02 7.487E+00 2.308E-03 
3.500E-02 6.690E+00 3.016E-03 
4.000E-02 6.074E+00 3.802E-03 
4.500E-02 5.584E+00 4.661E-03 
5.000E-02 5.183E+00 5.592E-03 
5.500E-02 4.849E+00 6.590E-03 
6.000E-02 4.567E+00 7.653E-03 
7.000E-02 4.115E+00 9.964E-03 
8.000E-02 3.769E+00 1.251E-02 
9.000E-02 3.495E+00 1.527E-02 
1.000E-01 3.273E+00 1.822E-02 
1.250E-01 2.867E+00 2.642E-02 
1.500E-01 2.592E+00 3.561E-02 
1.750E-01 2.393E+00 4.567E-02 
2.000E-01 2.245E+00 5.647E-02 
2.500E-01 2.037E+00 7.993E-02 
3.000E-01 1.902E+00 1.054E-01 
3.500E-01 1.808E+00 1.324E-01 
4.000E-01 1.740E+00 1.606E-01 
4.500E-01 1.689E+00 1.898E-01 
5.000E-01 1.651E+00 2.197E-01 
5.500E-01 1.622E+00 2.503E-01 
6.000E-01 1.599E+00 2.814E-01 
7.000E-01 1.567E+00 3.446E-01 
8.000E-01 1.547E+00 4.088E-01 
9.000E-01 1.536E+00 4.737E-01 
1.000E+00 1.530E+00 5.390E-01 
1.250E+00 1.527E+00 7.027E-01 
1.500E+00 1.536E+00 8.660E-01 
1.750E+00 1.549E+00 1.028E+00 
2.000E+00 1.564E+00 1.189E+00 
2.500E+00 1.598E+00 1.505E+00 
3.000E+00 1.631E+00 1.815E+00 
3.500E+00 1.663E+00 2.118E+00 
4.000E+00 1.694E+00 2.416E+00 
4.500E+00 1.724E+00 2.709E+00 
5.000E+00 1.752E+00 2.996E+00 
5.500E+00 1.780E+00 3.279E+00 
6.000E+00 1.807E+00 3.558E+00 
7.000E+00 1.859E+00 4.104E+00 
8.000E+00 1.909E+00 4.635E+00 
9.000E+00 1.958E+00 5.152E+00 
1.000E+01 2.006E+00 5.656E+00 
1.250E+01 2.123E+00 6.868E+00 
1.500E+01 2.238E+00 8.015E+00 
1.750E+01 2.351E+00 9.104E+00 
2.000E+01 2.463E+00 1.014E+01 
2.500E+01 2.687E+00 1.209E+01 
3.000E+01 2.909E+00 1.387E+01 
3.500E+01 3.130E+00 1.553E+01 
4.000E+01 3.351E+00 1.707E+01 
4.500E+01 3.572E+00 1.852E+01 
5.000E+01 3.793E+00 1.988E+01 
5.500E+01 4.014E+00 2.116E+01 
6.000E+01 4.235E+00 2.237E+01 
7.000E+01 4.677E+00 2.462E+01 
8.000E+01 5.120E+00 2.666E+01 
9.000E+01 5.564E+00 2.853E+01 
1.000E+02 6.008E+00 3.026E+01 
1.250E+02 7.121E+00 3.408E+01 
1.500E+02 8.237E+00 3.734E+01 
1.750E+02 9.355E+00 4.019E+01 
2.000E+02 1.048E+01 4.271E+01 
2.500E+02 1.272E+01 4.704E+01 
3.000E+02 1.497E+01 5.066E+01 
3.500E+02 1.723E+01 5.377E+01 
4.000E+02 1.949E+01 5.649E+01 
4.500E+02 2.175E+01 5.892E+01 
5.000E+02 2.401E+01 6.111E+01 
5.500E+02 2.627E+01 6.310E+01 
6.000E+02 2.853E+01 6.492E+01 
7.000E+02 3.307E+01 6.818E+01 
8.000E+02 3.760E+01 7.101E+01 
9.000E+02 4.214E+01 7.352E+01 
1.000E+03 4.668E+01 7.578E+01 
