ESTAR: Stopping Powers and Range Tables for Electrons

YSO (Density=4.4 g/cm3) (I=258.1 eV)

Kinetic    Total     CSDA      
Energy     Stp. Pow. Range     
MeV        MeV cm2/g g/cm2     

1.000E-02 1.417E+01 4.219E-04 
1.250E-02 1.208E+01 6.137E-04 
1.500E-02 1.059E+01 8.353E-04 
1.750E-02 9.474E+00 1.085E-03 
2.000E-02 8.600E+00 1.363E-03 
2.500E-02 7.318E+00 1.996E-03 
3.000E-02 6.418E+00 2.727E-03 
3.500E-02 5.749E+00 3.552E-03 
4.000E-02 5.231E+00 4.465E-03 
4.500E-02 4.817E+00 5.462E-03 
5.000E-02 4.478E+00 6.540E-03 
5.500E-02 4.196E+00 7.694E-03 
6.000E-02 3.957E+00 8.922E-03 
7.000E-02 3.573E+00 1.159E-02 
8.000E-02 3.279E+00 1.451E-02 
9.000E-02 3.045E+00 1.768E-02 
1.000E-01 2.856E+00 2.108E-02 
1.250E-01 2.510E+00 3.045E-02 
1.500E-01 2.275E+00 4.094E-02 
1.750E-01 2.106E+00 5.238E-02 
2.000E-01 1.979E+00 6.464E-02 
2.500E-01 1.802E+00 9.120E-02 
3.000E-01 1.686E+00 1.199E-01 
3.500E-01 1.605E+00 1.504E-01 
4.000E-01 1.548E+00 1.821E-01 
4.500E-01 1.505E+00 2.149E-01 
5.000E-01 1.473E+00 2.485E-01 
5.500E-01 1.448E+00 2.828E-01 
6.000E-01 1.430E+00 3.175E-01 
7.000E-01 1.404E+00 3.882E-01 
8.000E-01 1.389E+00 4.598E-01 
9.000E-01 1.381E+00 5.320E-01 
1.000E+00 1.378E+00 6.045E-01 
1.250E+00 1.381E+00 7.859E-01 
1.500E+00 1.394E+00 9.661E-01 
1.750E+00 1.411E+00 1.144E+00 
2.000E+00 1.430E+00 1.320E+00 
2.500E+00 1.471E+00 1.665E+00 
3.000E+00 1.512E+00 2.001E+00 
3.500E+00 1.553E+00 2.327E+00 
4.000E+00 1.593E+00 2.645E+00 
4.500E+00 1.633E+00 2.955E+00 
5.000E+00 1.672E+00 3.257E+00 
5.500E+00 1.710E+00 3.553E+00 
6.000E+00 1.748E+00 3.842E+00 
7.000E+00 1.822E+00 4.402E+00 
8.000E+00 1.895E+00 4.941E+00 
9.000E+00 1.966E+00 5.459E+00 
1.000E+01 2.037E+00 5.958E+00 
1.250E+01 2.213E+00 7.135E+00 
1.500E+01 2.386E+00 8.223E+00 
1.750E+01 2.559E+00 9.235E+00 
2.000E+01 2.731E+00 1.018E+01 
2.500E+01 3.076E+00 1.190E+01 
3.000E+01 3.421E+00 1.344E+01 
3.500E+01 3.767E+00 1.484E+01 
4.000E+01 4.113E+00 1.611E+01 
4.500E+01 4.461E+00 1.727E+01 
5.000E+01 4.809E+00 1.835E+01 
5.500E+01 5.158E+00 1.936E+01 
6.000E+01 5.507E+00 2.030E+01 
7.000E+01 6.208E+00 2.200E+01 
8.000E+01 6.910E+00 2.353E+01 
9.000E+01 7.614E+00 2.491E+01 
1.000E+02 8.319E+00 2.616E+01 
1.250E+02 1.009E+01 2.889E+01 
1.500E+02 1.186E+01 3.117E+01 
1.750E+02 1.364E+01 3.314E+01 
2.000E+02 1.542E+01 3.486E+01 
2.500E+02 1.899E+01 3.778E+01 
3.000E+02 2.257E+01 4.019E+01 
3.500E+02 2.615E+01 4.224E+01 
4.000E+02 2.974E+01 4.404E+01 
4.500E+02 3.333E+01 4.562E+01 
5.000E+02 3.693E+01 4.705E+01 
5.500E+02 4.052E+01 4.834E+01 
6.000E+02 4.412E+01 4.952E+01 
7.000E+02 5.132E+01 5.162E+01 
8.000E+02 5.853E+01 5.345E+01 
9.000E+02 6.574E+01 5.506E+01 
1.000E+03 7.296E+01 5.650E+01 
